ingredient_id,canonical_name,aliases
ING0001,whole wheat flour,atta|gehun ka atta|chakki ka atta|wheat flour
ING0002,turmeric,haldi|turmeric powder
ING0003,cumin,jeera|cumin seeds
ING0004,clarified butter,ghee
ING0005,coriander leaves,cilantro|coriander
ING0006,chickpeas,chole|kabuli chana
ING0007,carom seeds,ajwain
ING0008,mustard seeds,rai|mustard
ING0009,onion,pyaz
ING0010,tomato,tamatar
ING0011,ginger,adrak
ING0012,garlic,lahsun
ING0013,red chili powder,lal mirch powder
ING0014,garam masala,garam masala powder
ING0015,salt,namak
