ingredient_id,canonical_name,aliases
ING0001,salt,
ING0002,oil,olive oil
ING0004,ginger,
ING0005,sugar,granulated white sugar|powdered sugar
ING0006,garam masala,
ING0007,onion,
ING0008,cumin,cumin powder|cumin seeds|jeera
ING0009,turmeric,turmeric powder
ING0010,ghee,
ING0011,red chili powder,kashmiri red chili powder|kashmiri red chilli powder
ING0012,coriander powder,
ING0013,green chili,green chilies|green chilli
ING0014,red onion,
ING0015,coriander leaves,cilantro|cilantro or coriander leaves|coriander
ING0016,curry leaves,
ING0017,mustard seeds,mustard
ING0018,milk,
ING0019,lemon juice,
ING0020,cardamom powder,
ING0021,garlic,garlic cloves
ING0022,tomato,tomatoes
ING0023,butter,unsalted butter
ING0024,urad dal,
ING0025,pepper,black pepper|black pepper powder
ING0026,baking powder,
ING0027,chaat masala,
ING0028,bay leaf,
ING0029,besan,
ING0030,ginger garlic paste,
ING0031,vanilla extract,
ING0032,all purpose flour,maida
ING0033,baking soda,
ING0034,carrot,carrots
ING0035,capsicum,
ING0036,ajwain,
ING0037,cinnamon stick,
ING0038,kasuri methi,kasoori methi
ING0039,yogurt,curd|plain yogurt
ING0040,potato,potatoes
ING0041,chili,chilli
ING0042,chana dal,
ING0044,coriander seeds,
ING0045,hing,pinch hing|pinch of hing
ING0046,coconut,
ING0047,peanuts,
ING0048,soy sauce,
ING0049,dried red chilli,
ING0050,green peas,
ING0051,jaggery,
ING0052,corn flour,
ING0053,heavy cream,
ING0054,ginger paste or freshly grated or crushed,
ING0055,rice flour,
ING0056,almonds,
ING0057,paneer,
ING0058,basmati rice,
ING0059,cashews,cashew
ING0060,cornstarch,
ING0061,rava,
ING0062,dried red chilies,
ING0063,milk powder,
ING0064,sesame seeds,
ING0065,fennel seeds,
ING0067,pistachios,
ING0069,to mato,
ING0070,cabbage,
ING0071,whole wheat flour,
ING0072,smoked paprika,
ING0073,raisins,
ING0074,ginger paste,
ING0075,ginger-garlic paste,
ING0076,garam masala powder,
ING0077,red pepper,
ING0078,aamchur,
ING0079,methi,
ING0080,wheat flour,
ING0081,garlic paste or freshly grated,
ING0082,cinnamon,
ING0083,peas,
ING0084,vinegar,
ING0085,vegetable oil,
ING0086,pinch of salt,
ING0087,pinch salt,
ING0088,toor dal,
ING0089,cocoa powder,
ING0090,mint leaves,
ING0092,spring onion,
ING0093,amchur powder,
ING0094,black salt,
ING0097,cinnamon powder,
ING0098,pods cardamom,
ING0099,cashew nuts,
ING0100,green chutney,
ING0101,fennel,
ING0102,coconut milk,
ING0103,white vinegar,
ING0104,amchur,
ING0105,green pepper,
ING0106,rice vinegar,
ING0107,black cardamom,
ING0108,atta,
ING0109,oz cream cheese,
ING0110,lemon,
ING0111,mint,
ING0114,tomato sauce,
ING0115,tomato paste,
ING0117,cardamom,
ING0118,sooji,
ING0119,mustard oil,
ING0120,black peppercorns,
ING0121,green cardamom seeds powder,
ING0122,tamarind extract,
ING0123,brown sugar,
ING0124,coconut oil,
ING0126,nuts,
ING0127,green cardamoms,
ING0128,yellow onion,
ING0129,कप पानी,
ING0130,honey,
ING0131,mixed herbs,
ING0132,beans,
ING0133,water as required,
ING0134,sesame oil,
ING0135,golden raisins,
ING0136,kala namak,
ING0137,rock salt,
ING0138,lavang,
ING0139,oil for roasting,
ING0140,slice bread,
ING0141,saffron strands,
ING0142,cucumber,
ING0144,tomato ketchup,
ING0146,cilantro chutney,
ING0147,cream,
ING0148,slices bread,
ING0149,bread crumbs,
ING0150,roasted cumin powder,
ING0151,टी स्पून नमक,
ING0153,star anise,
ING0154,poppy seeds,
ING0155,chilli sauce,
ING0156,dried kashmiri red chilli,
ING0157,sev,
ING0158,whole milk,
ING0159,green cardamom pods,
ING0160,desiccated coconut powder,
ING0161,jalapeño,
ING0162,pure vanilla extract,
ING0163,plain yogurt ),
ING0164,cooked rice,
ING0165,kashmiri chilli powder,
ING0166,moong dal,
ING0167,sabudana,
ING0168,walnuts,
ING0169,fenugreek seeds,
ING0170,sweet corn,
ING0172,salted butter,
ING0173,gulkand,
ING0174,white onion,
ING0175,lime,
ING0177,dry coconut,
ING0178,saffron,
ING0179,mozzarella cheese,
ING0180,tamarind chutney,
ING0181,green cardamom,
ING0182,pinch cardamom powder,
ING0183,curry powder,
ING0185,sriracha,
ING0187,paprika,
ING0188,corn,
ING0189,condensed milk,
ING0190,beetroot,
ING0191,onions,
ING0192,fennel powder,
ING0193,biryani masala,
ING0194,water to knead,
ING0195,pav bhaji masala,
ING0196,tomato puree,
ING0197,desiccated coconut,
ING0198,red chili flakes,
ING0199,liter whole milk,
ING0200,spinach,
ING0201,toasted sesame oil,
ING0202,almond flour,
ING0203,white granulated sugar,
ING0205,a pinch hing,
ING0206,chilli flakes,
ING0208,whole cashews,
ING0209,tutti frutti,
ING0210,rolled oats,
ING0211,okra,
ING0212,cauliflower,
ING0214,टी स्पून तेल,
ING0215,green beans,
ING0216,white pepper powder,
ING0218,mawa,
ING0219,lemon juice or lime juice,
ING0220,heavy whipping cream or fresh cream or malai,
ING0221,ball sized tamarind,
ING0222,schezwan sauce,
ING0223,dry yeast,
ING0224,jalapeno,
ING0225,dates,
ING0226,bread slices,
ING0227,ice cubes,
ING0228,rose syrup,
ING0229,unsweetened cocoa powder,
ING0230,pinch baking soda,
ING0231,methi seeds,
ING0232,lime juice,
ING0233,mangoes,
ING0234,oz extra-firm tofu,
ING0235,whole dried red chilies,
ING0236,maple syrup,
ING0237,grated ginger,
ING0238,arhar dal,
ING0239,cubes paneer,
ING0240,pizza sauce,
ING0241,banana,
ING0242,sized onion,
ING0243,sweet tamarind chutney,
ING0244,oil or ghee,
ING0245,masoor dal,
ING0246,dried oregano,
ING0247,cauliflower florets,
ING0248,cayenne pepper,
ING0249,paprika powder,
ING0250,stalks green onion,
ING0251,pomegranate arils,
ING0252,broken cashews,
ING0253,thandai powder,
ING0254,jaggery powder,
ING0255,yellow moong dal,
ING0258,fenugreek leaves,
ING0259,strands saffron,
ING0260,piece tamarind,
ING0261,red chilli,
ING0262,thickened cream,
ING0263,rice,
ING0264,litre milk,
ING0265,saffron milk,
ING0266,aamchur powder,
ING0268,pinch asafoetida,
ING0269,lauki,
ING0270,grated coconut,
ING0271,poha,
ING0272,avocado,
ING0274,crushed kasuri methi,
ING0275,canola oil,
ING0276,avocado oil,
ING0277,bay leaves,
ING0278,heavy whipping cream,
ING0279,half lemon,
ING0280,tamarind paste,
ING0281,red bell pepper,
ING0282,quinoa,
ING0283,paan leaves,
ING0284,green onions,
ING0288,dry mango powder,
ING0289,to matoes,
ING0291,full cream milk,
ING0292,chilli powder,
ING0293,cheese,
ING0294,dry fruits,
ING0295,mayonnaise,
ING0296,spring onions,
ING0297,water for soaking,
ING0298,mango puree,
ING0299,dried red chili,
ING0300,khoya,
ING0303,टी स्पून हल्दी,
ING0304,shahi jeera,
ING0305,मिर्च,
ING0307,italian seasoning,
ING0308,chat masala,
ING0309,eggplant,
ING0311,juice of 1,
ING0312,moong dal dhuli,
ING0313,sliced almonds,
ING0314,grated garlic,
ING0315,vegetable broth,
ING0317,oz can diced tomatoes,
ING0319,hot sauce,
ING0320,pinch saffron strands,
ING0321,red onion ),
ING0322,vanilla,
ING0323,light brown sugar,
ING0324,ground cinnamon,
ING0325,lemon zest,
ING0328,rajma,
ING0329,तेल,
ING0330,कप चीनी,
ING0331,olives,
ING0332,sesame,
ING0333,cashew paste,
ING0334,pinch of baking soda,
ING0335,mushrooms,
ING0336,sambar powder,
ING0337,chickpea,
ING0338,bhindi,
ING0339,dosa batter,
ING0340,custard powder,
ING0341,pinch of asafoetida,
ING0342,pomegranate seeds,
ING0345,प्याज,
ING0346,ginger powder,
ING0347,schezwan chutney,
ING0348,idli rice,
ING0349,celery,
ING0350,juice of 1 lime,
ING0351,paneer cubes,
ING0352,sweet potatoes,
ING0353,nutmeg powder,
ING0354,orange food color,
ING0355,eggs,
ING0359,oz can condensed milk,
ING0360,white sesame seeds,
ING0361,oz can chickpeas,
ING0362,water ),
ING0363,chocolate chips,
ING0364,thai basil,
ING0365,black mustard seeds,
ING0366,whole green cardamom,
ING0368,broccoli florets,
ING0370,lime wedges,
ING0371,ghee ),
ING0372,generous pinch saffron strands,
ING0373,garlic powder,
ING0374,roasted peanuts,
ING0378,कप दूध,
ING0379,टी स्पून नींबू का रस,
ING0380,टेबल स्पून घी,
ING0381,pinch of chaat masala,
ING0382,tomato pulp,
ING0383,saunf,
ING0384,badam,
ING0385,sweet corn kernels,
ING0386,baby potatoes,
ING0387,raw mango,
ING0388,ginger - garlic paste,
ING0389,channa dal,
ING0390,thick curd,
ING0392,ghee or oil,
ING0393,salt as required,
ING0394,टी स्पून जीरा,
ING0395,boondi,
ING0396,buttermilk,
ING0397,pinch chaat masala,
ING0398,peanut butter,
ING0399,टेबल स्पून धनिया,
ING0400,kale,
ING0401,granulated sugar,
ING0403,ground ginger,
ING0404,melted ghee,
ING0406,sour cream,
ING0407,green bell pepper,
ING0408,chickpeas,
ING0409,active dry yeast,
ING0410,green coriander chutney,
ING0411,frozen green peas,
ING0412,oz can coconut milk,
ING0413,oz spaghetti,
ING0415,generous pinch hing,
ING0417,dried rose petals,
ING0418,oz paneer,
ING0419,black eyed peas,
ING0420,powdered jaggery,
ING0421,powdered sugar ),
ING0422,green onion,
ING0424,cooking oil spray,
ING0427,white distilled vinegar,
ING0428,sprigs cilantro or coriander leaves,
ING0431,piece jaggery,
ING0432,कप मैदा,
ING0433,strawberry,
ING0434,noodles,
ING0435,butter for roasting,
ING0436,slice tomato,
ING0437,soya chunks,
ING0438,whole cashew,
ING0439,chocolate chip,
ING0440,oats,
ING0441,breadcrumbs,
ING0442,black sesame seeds,
ING0443,green capsicum,
ING0444,red capsicum,
ING0445,sized potato,
ING0446,chocolate,
ING0447,chana,
ING0448,eno,
ING0449,bunch spinach,
ING0450,roasted chana dal,
ING0451,lettuce leaves,
ING0452,ginger ),
ING0453,slice lemon,
ING0454,kashmiri red chilli,
ING0455,tamarind pulp,
ING0456,cornflour,
ING0457,whipped cream,
ING0458,jowar flour,
ING0459,sweetened condensed milk,
ING0460,tamarind juice,
ING0461,corn starch,
ING0462,palak,
ING0463,grated cheese,
ING0464,टी स्पून गरम मसाला,
ING0465,टी स्पून कश्मीरी लाल मिर्च पाउडर,
ING0466,goda masala,
ING0467,dry ginger powder,
ING0468,kalonji,
ING0469,इंच दालचीनी,
ING0470,shallots,
ING0471,oz spinach,
ING0472,juice of 1 lemon,
ING0473,black cardamoms,
ING0474,chole masala,
ING0476,peppercorns,
ING0477,chandi ka vark,
ING0479,balsamic vinegar,
ING0482,whole dried red chili,
ING0483,apples,
ING0484,green food color,
ING0485,pineapple,
ING0486,onion tomato masala,
ING0487,ground black pepper,
ING0488,juice of half lemon,
ING0489,raw cashews,
ING0490,oz white mushrooms,
ING0491,tamari,
ING0492,oil ),
ING0494,dark soy sauce,
ING0495,flour,
ING0496,greek yogurt,
ING0497,urad dal dhuli,
ING0498,tamarind concentrate,
ING0500,salt ),
ING0501,dijon mustard,
ING0503,hoisin sauce,
ING0504,apple cider vinegar,
ING0506,parsley,
ING0509,fennel seeds powder,
ING0512,anardana powder,
ING0514,whey,
ING0518,dried white chickpeas,
ING0519,mango pulp or puree,
ING0520,white sugar,
ING0521,pav,
ING0522,brinjal,
ING0523,काजू,
ING0524,टी स्पून बेकिंग सोडा,
ING0525,cheddar cheese,
ING0526,putani,
ING0527,gm wheat flour,
ING0528,drops green food colour,
ING0529,pudina,
ING0530,baby corn,
ING0531,cold milk,
ING0532,gm maida,
ING0533,handful of sev,
ING0534,warm milk,
ING0535,panko bread crumbs,
ING0536,mango pulp,
ING0537,thick poha,
ING0538,green chillies,
ING0539,bombay rava,
ING0541,carom seeds,
ING0542,raw rice,
ING0543,grapes,
ING0544,gobi,
ING0545,cherry,
ING0546,mango pieces,
ING0547,oregano,
ING0548,basil leaves,
ING0549,radish,
ING0550,aloo bhaji,
ING0552,fresh,
ING0553,gram flour,
ING0554,a pinch of asafoetida,
ING0555,semolina,
ING0556,पुत्थी लहसुन,
ING0557,कप बेसन,
ING0558,टी स्पून धनिया पाउडर,
ING0559,dosa rice,
ING0560,puffed rice,
ING0561,eno fruit salt,
ING0562,apple,
ING0563,pinch cumin powder,
ING0564,pinch turmeric,
ING0565,grams sugar,
ING0566,florets gobi,
ING0567,cooked basmati rice,
ING0568,fried onions,
ING0569,saffron food colour,
ING0570,pear,
ING0571,sattu,
ING0572,pinch aamchur,
ING0573,tea bags,
ING0574,suji,
ING0575,टी स्पून वेनिला अर्क,
ING0576,बे पत्ती,
ING0577,फली इलायची,
ING0578,टमाटर,
ING0579,कप बासमती चावल,
ING0580,टी स्पून चीनी,
ING0581,पिंच हिंग,
ING0582,टी स्पून सरसों,
ING0583,कुछ करी पत्ते,
ING0584,टी स्पून काली मिर्च,
ING0585,गाजर,
ING0586,शिमला मिर्च,
ING0587,pickle masala,
ING0588,zucchini,
ING0589,urad dal sabut,
ING0590,raw chickpeas,
ING0591,chickpea flour,
ING0592,black tea bags,
ING0594,burger buns,
ING0596,baby spinach,
ING0597,pecans,
ING0598,kewra essence,
ING0599,cilantro leaves,
ING0600,bell peppers,
ING0601,egg,
ING0603,lb carrots,
ING0604,red wine vinegar,
ING0605,pink food color,
ING0607,red curry paste,
ING0608,raw peanuts,
ING0611,oz can black beans,
ING0612,crumbled paneer,
ING0613,vegetarian oyster sauce,
ING0614,oz tofu,
ING0615,sendha namak,
ING0616,oat milk,
ING0617,kashmiri red chili powder ),
ING0618,whole green cardamoms,
ING0619,stalks green onions,
ING0621,medjool dates,
ING0622,crushed pistachios,
ING0623,green chili sauce,
ING0625,ragi flour,
ING0626,liters whole milk,
ING0627,whole milk yogurt,
ING0629,to 1,
ING0630,flaxseed meal,
ING0631,citric acid,
ING0632,bananas,
ING0633,melon seeds,
ING0636,biscoff cookies,
ING0637,besan ),
ING0639,caster sugar,
ING0641,instant coffee,
ING0642,ground nutmeg,
ING0643,lemon extract,
ING0645,panch phoron,
ING0646,splash vanilla extract,
ING0647,dried chickpeas,
ING0650,tahini,
ING0654,khas khas,
ING0655,kashmiri dried red chilies,
ING0660,peanut oil,
ING0662,freshly grated nutmeg,
ING0663,dry kala chana,
ING0664,ginger garlic paste ),
ING0665,tomatoes ),
ING0668,plain yogurt whisked till smooth),
ING0672,a pinch sugar,
ING0673,singhare ka atta,
ING0675,chana masala powder,
ING0676,rajgira ka atta,
ING0677,moth beans,
ING0678,टी स्पून इलाइची पाउडर,
ING0679,टेबल स्पून किशमिश,
ING0680,टी स्पून बेकिंग पाउडर,
ING0681,pinch of kashmiri red chilli powder,
ING0682,vermicelli,
ING0683,agar agar,
ING0684,water or as required,
ING0685,gm sugar,
ING0686,gm olive oil,
ING0687,mango powder,
ING0688,mushroom,
ING0689,hung curd,
ING0690,pod black cardamom,
ING0691,rasam powder,
ING0692,handful coriander,
ING0693,ripened banana,
ING0694,red food colour,
ING0695,putani powder,
ING0696,churumuri,
ING0697,fresh coconut,
ING0698,peanut powder,
ING0699,red chilli flakes,
ING0700,handful of coriander leaves,
ING0701,peri peri sauce,
