canonical_name,ingredient_id,aliases
` green chili,ING2515,
`1 red pepper,ING1914,
a pinch baking powder,ING1029,
a pinch baking soda,ING1035,
a pinch dry ginger powder,ING2682,
a pinch green cardamom seeds powder,ING2684,
a pinch of asafoetida,ING0554,
a pinch of baking soda,ING1300,
a pinch or 1,ING0976,
a pinch red chilli flakes,ING2730,
a pinch sugar,ING0672,
a tiny piece cinnamon stick,ING2948,
aamchur,ING0078,
aamchur powder,ING0266,
active dry yeast,ING0409,
agar agar,ING0683,
agar agar flakes,ING0836,
agar-agar,ING0719,
ajwain,ING0036,
ajwain [carom seeds],ING0813,
ajwain seeds [carom seeds],ING1638,
all purpose flour,ING0032,maida
all purpose flour [maida],ING0812,
all purpose flour flour if needed),ING2131,
all purpose flour or maida,ING2289,
all purpose flour`,ING2255,
all spice,ING0916,
almond,ING1443,
almond extract,ING0948,
almond flour,ING0202,
almond milk,ING0939,
almonds,ING0056,
almonds ),ING0996,
"almonds, pistachios and dried rose petals",ING2276,
aloo bhaji,ING0550,
amchur,ING0104,
amchur powder,ING0093,
amla,ING1142,
anardana powder,ING0512,
ancho chile pepper powder,ING2403,
ancho chili pepper,ING2207,
apple,ING0562,
apple cider vinegar,ING0504,
apple juice,ING2265,
apples,ING0483,
arbi,ING0880,
arhar dal,ING0238,
asafetida,ING1955,
asafoetida,ING1286,
asafoetida powder,ING1588,
ash gourd,ING0714,
assorted fruits,ING1882,
atta,ING0108,
avocado,ING0272,
avocado oil,ING0276,
avocados,ING2530,
baby corn,ING0530,
baby eggplants,ING0828,
baby potato,ING1409,
baby potatoes,ING0386,
baby spinach,ING0596,
badam,ING0384,
badam halwa,ING2102,
baingan,ING1363,
bajra atta,ING1491,
baking powder,ING0026,
baking soda,ING0033,
balck pepper,ING1440,
ball of tamarind,ING0750,
ball sized,ING1530,
ball sized wheat dough,ING1362,
ball tamarind,ING1072,
balsamic vinegar,ING0479,
banana,ING0241,
banana leaf,ING1541,
bananas,ING0632,
bansi rava,ING1405,
bar dark chocolate,ING1179,
basale soppu,ING1328,
basil,ING0881,
basil and cilantro,ING2327,
basil leaves,ING0548,
basil or cilantro,ING2589,
basil seeds,ING1184,
basmati rice,ING0058,
batch buttercream frosting,ING0978,
batch mint chutney,ING2962,
bay leaf,ING0028,
bay leaves,ING0277,
bean,ING1133,
bean sprouts,ING1987,
beans,ING0132,
